y,m,district,year,c,r
5854.558981541436,4.6354386235482465,1st District – Central,2003.0,2.091740224430058,54.3808419398073
6655.612504798822,3.0239039094951483,2nd District – Wentworth,2003.0,0.4802055103769596,35.475055091452546
6665.957741289315,3.8310101961432843,3rd District – Grand Crossing,2003.0,1.2873117970250956,44.943656224443096
4533.704732338261,1.1291917141564785,4th District – South Chicago,2003.0,-1.4145066849617103,13.247159786635105
5996.612908247874,2.121943704263225,5th District – Calumet,2003.0,-0.42175469485496375,24.893671248391755
6256.711269535912,2.4613340950180613,6th District – Gresham,2003.0,-0.0823643041001274,28.875243801584272
8324.659980188138,3.7431025090774,7th District – Englewood,2003.0,1.1994041099592114,43.912363519727144
2957.819266953889,0.47211799951378913,8th District – Chicago Lawn,2003.0,-2.0715803996043998,5.538672042397751
3174.054821589308,0.8753598515138742,9th District – Deering,2003.0,-1.6683385476043147,10.269320681716005
3561.5155306360653,1.7683791115372718,10th District – Ogden,2003.0,-0.775319287580917,20.745813452396437
7945.512233194187,4.006814035902263,11th District – Harrison,2003.0,1.463115636784074,47.00610631789858
4220.2230926391,1.3530692826672333,12th District – Near West,2003.0,-1.1906291164509555,15.873588838074582
4132.790341983428,2.0439121374794404,14th District – Shakespeare,2003.0,-0.4997862616387483,23.97824066151531
8146.783787730841,6.569986925589388,15th District – Austin,2003.0,4.0262885264712,77.07607619526459
1927.9042195378508,0.32687423186467457,16th District – Jefferson Park,2003.0,-2.216824167253514,3.8347387120880896
2192.865677940067,0.7718640189862961,17th District – Albany Park,2003.0,-1.7718343801318928,9.055154997044975
3855.2468443277407,2.4985397565312644,18th District – Near North,2003.0,-0.04515864258692437,29.31172357455271
2367.6001574866323,0.8785158283809397,19th District – Town Hall,2003.0,-1.6651825707372492,10.306345156228884
2100.2791476323264,1.6815685729642327,20th District – Lincoln,2003.0,-0.8621298261539561,19.727391991077127
3086.792295127109,0.7896629048675132,22nd District – Morgan Park,2003.0,-1.7540354942506755,9.263963370624568
2365.0026630185935,1.3354052303888162,24th District – Rogers Park,2003.0,-1.2082931687293725,15.666362270541303
3224.5047381632367,0.9218138188002392,25th District – Grand Central,2003.0,-1.6218845803179496,10.81429734037427
6304.9096724292385,4.9920108253596505,1st District – Central,2003.25,2.4699028906490237,58.56398362748479
7214.456628778608,3.277808554647255,2nd District – Wentworth,2003.25,0.7557006199366283,38.45374804742366
8239.43846437821,4.735309462286327,3rd District – Grand Crossing,2003.25,2.2132015275757007,55.55248085833844
5381.373042992607,1.3403170717291675,4th District – South Chicago,2003.25,-1.1817908629814593,15.72398574250491
6778.187796834222,2.3985094822484863,5th District – Calumet,2003.25,-0.12359845246214052,28.138214231265703
7166.033264984484,2.819053212031662,6th District – Gresham,2003.25,0.29694527732103504,33.07184057288905
9995.30848093319,4.494293381714565,7th District – Englewood,2003.25,1.972185447003938,52.72499063638998
3224.4261041317595,0.5146729615533534,8th District – Chicago Lawn,2003.25,-2.0074349731572734,6.037907358053086
3946.1717783819304,1.088298890894079,9th District – Deering,2003.25,-1.4338090438165478,12.767423921509401
3925.9931457703383,1.9493511150796117,10th District – Ogden,2003.25,-0.5727568196310151,22.86889407526811
9034.716738894727,4.556085092735616,11th District – Harrison,2003.25,2.0339771580249892,53.44990267667795
4844.130048728363,1.553103574456032,12th District – Near West,2003.25,-0.9690043602545948,18.22029949217472
4348.012609423848,2.1503524280038815,14th District – Shakespeare,2003.25,-0.3717555067067453,25.22694937823349
9563.77577249541,7.712722397173719,15th District – Austin,2003.25,5.190614462463092,90.48212513819519
1898.7620655808023,0.321933208813293,16th District – Jefferson Park,2003.25,-2.200174725897334,3.7767728936619474
2350.2225313309004,0.82725185896899,17th District – Albany Park,2003.25,-1.6948560757416367,9.704939756611184
4101.468498165516,2.6581130901915206,18th District – Near North,2003.25,0.13600515548089387,31.18376480739381
2733.97258686633,1.0144610711934434,19th District – Town Hall,2003.25,-1.5076468635171834,11.901192453807075
2150.088139275781,1.7214476695562697,20th District – Lincoln,2003.25,-0.8006602651543571,20.195235279403065
3701.4823322857956,0.9469128504184691,22nd District – Morgan Park,2003.25,-1.5751950842921576,11.108747678760674
2747.1728454643344,1.5511986705049885,24th District – Rogers Park,2003.25,-0.9709092642056383,18.197952031861913
3640.1513901215167,1.0406379045516057,25th District – Grand Central,2003.25,-1.4814700301590211,12.208287068349776
7118.701271752811,5.63634304968552,1st District – Central,2003.5,3.135825579382455,66.12299404556866
6952.3997796807425,3.158745924434685,2nd District – Wentworth,2003.5,0.6582284541316201,37.05695982513211
8391.452703727477,4.82267396765947,3rd District – Grand Crossing,2003.5,2.322156497356405,56.57740120432496
5683.139759816676,1.4154769015732693,4th District – South Chicago,2003.5,-1.0850405687297955,16.605726427455732
7250.672964673008,2.5657016860130955,5th District – Calumet,2003.5,0.06518421571003064,30.099636557149427
7530.426610298224,2.962402285719207,6th District – Gresham,2003.5,0.4618848154161421,34.753546221804115
10669.85603640938,4.797597138673282,7th District – Englewood,2003.5,2.2970796683702175,56.28321133704426
3350.9446181817366,0.5348674570122485,8th District – Chicago Lawn,2003.5,-1.9656500132908163,6.274819925512281
4172.365977917378,1.150680082161439,9th District – Deering,2003.5,-1.349837388141626,13.499251473942936
4535.155034001746,2.2518148133077185,10th District – Ogden,2003.5,-0.24870265699534633,26.41725959181588
10033.771665325266,5.059894939649656,11th District – Harrison,2003.5,2.559377469346591,59.36036895134068
5170.638733188696,1.6577873463253276,12th District – Near West,2003.5,-0.8427301239777372,19.448401536880343
