sigma,mse,t,change,method,x,y,c
0.1,0.001908005019215162,0.11137087900000003,19.0,BGSM,0.1,0.001908005019215162,19.0
0.2,0.05859886416552949,0.18231663190000003,18.8,BGSM,0.2,0.05859886416552949,18.8
0.3,0.14266637672746973,0.6523320851999999,18.5,BGSM,0.3,0.14266637672746973,18.5
0.4,0.24657581335126,1.5652057822000003,19.200000000000003,BGSM,0.4,0.24657581335126,19.200000000000003
0.5,0.7340640078059475,2.6886509859000007,18.400000000000002,BGSM,0.5,0.7340640078059475,18.400000000000002
0.1,0.009227517423470728,10.778408755900003,99.4,Genlasso,0.1,0.009227517423470728,99.4
0.2,0.03739691474741689,10.3141224145,104.0,Genlasso,0.2,0.03739691474741689,104.0
0.3,0.08422439963111521,11.769471547400002,104.10000000000001,Genlasso,0.3,0.08422439963111521,104.10000000000001
0.4,0.14969034422561206,11.224685413899998,104.80000000000001,Genlasso,0.4,0.14969034422561206,104.80000000000001
0.5,0.23332575928923935,10.000115856,104.9,Genlasso,0.5,0.23332575928923935,104.9
0.1,0.18936931900798293,17.343777740700002,18.5,L0pen,0.1,0.18936931900798293,18.5
0.2,0.1950653552687854,17.5303286141,18.5,L0pen,0.2,0.1950653552687854,18.5
0.3,0.20557377889897238,21.3836885961,18.5,L0pen,0.3,0.20557377889897238,18.5
0.4,0.49264805701211195,23.748663469800004,17.900000000000002,L0pen,0.4,0.49264805701211195,17.900000000000002
0.5,0.521241794898748,25.093104527700003,18.3,L0pen,0.5,0.521241794898748,18.3
