bgsm,genlasso,l0pen,l0pen2,y
-0.05048490815467515,0.0596907573962604,0.023364103147799735,-0.17025680291067302,0.6975438896038137
-0.05048490815467515,0.05969075739626009,0.023364103147799735,-0.17025680291067302,-0.32322834857594507
-0.05048490815467515,0.05969075739626033,0.023364103147799735,-0.17025680291067302,0.30497711344531836
-0.05048490815467515,0.05969075739626051,0.023364103147799735,-0.17025680291067302,0.07728252117607787
-0.05048490815467515,0.0596907573962604,0.023364103147799735,-0.17025680291067302,-0.6644093704259408
-0.05048490815467515,0.05969075739625995,0.023364103147799735,-0.17025680291067302,0.40616165929748055
-0.05048490815467515,0.05969075739625984,0.023364103147799735,-0.17025680291067302,-0.12773786727695038
-0.05048490815467515,0.05969075739625951,0.023364103147799735,-0.17025680291067302,-0.19028858941898055
-0.05048490815467515,0.05969075739625988,0.023364103147799735,-0.17025680291067302,-0.9421299059607545
-0.05048490815467515,0.05969075739626034,0.023364103147799735,-0.17025680291067302,-0.32936229971502234
-0.05048490815467515,0.059690757396260286,0.023364103147799735,-0.17025680291067302,-0.1570519804572364
-0.05048490815467515,0.05969075739626034,0.023364103147799735,-0.17025680291067302,0.21011000021145065
-0.05048490815467515,0.05969075739626031,0.023364103147799735,-0.17025680291067302,0.19630488084344194
-0.05048490815467515,0.05969075739626056,0.023364103147799735,-0.17025680291067302,-0.47059593388292514
-0.05048490815467515,0.05969075739626023,0.023364103147799735,-0.17025680291067302,-0.5132622594972716
-0.05048490815467515,0.05969075739626031,0.023364103147799735,-0.17025680291067302,-0.8253971637329429
-0.05048490815467515,0.0596907573962604,0.023364103147799735,-0.17025680291067302,0.35357359167147084
-0.05048490815467515,0.05969075739626023,0.023364103147799735,-0.17025680291067302,0.40153372151334116
-0.05048490815467515,0.05969075739626045,0.023364103147799735,-0.17025680291067302,0.6500506187978313
-0.05048490815467515,0.05969075739626009,0.023364103147799735,-0.17025680291067302,0.566905295848942
-0.05048490815467515,0.0596907573962604,0.023364103147799735,-0.17025680291067302,0.16225074645624366
-0.05048490815467515,0.05969075739626073,0.023364103147799735,-0.17025680291067302,-0.01835254221937538
-0.05048490815467515,0.05969075739626073,0.023364103147799735,-0.17025680291067302,0.536834617154611
-0.05048490815467515,0.05969075739626062,0.023364103147799735,-0.17025680291067302,-1.2963150323873776
-0.05048490815467515,0.059690757396259994,0.023364103147799735,-0.17025680291067302,-0.6891698399311336
-0.05048490815467515,-0.13680056189990364,0.023364103147799735,-0.17025680291067302,-0.034321450876941724
-0.05048490815467515,-0.1368005618999043,0.023364103147799735,-0.17025680291067302,-0.27381241145582436
-0.05048490815467515,-0.13680056189990408,0.023364103147799735,-0.17025680291067302,-0.29143355755173656
-0.05048490815467515,-0.1368005618999043,0.023364103147799735,-0.17025680291067302,0.18514679005362863
-0.05048490815467515,-0.13680056189990436,0.023364103147799735,-0.17025680291067302,0.1607858163631871
-0.05048490815467515,-0.13680056189990475,0.023364103147799735,-0.17025680291067302,-0.6952816642682992
-0.05048490815467515,-0.13905698412099898,0.023364103147799735,-0.17025680291067302,0.1629299395653172
