x,y,v0
1,-0.375,0.00(pava)
2,-0.3458571428571428,0.00(pava)
3,-0.3458571428571428,0.00(pava)
4,-0.3458571428571428,0.00(pava)
5,-0.3458571428571428,0.00(pava)
6,-0.3458571428571428,0.00(pava)
7,-0.3458571428571428,0.00(pava)
8,-0.3458571428571428,0.00(pava)
9,-0.3458571428571428,0.00(pava)
10,-0.3458571428571428,0.00(pava)
11,-0.3458571428571428,0.00(pava)
12,-0.3458571428571428,0.00(pava)
13,-0.3458571428571428,0.00(pava)
14,-0.3458571428571428,0.00(pava)
15,-0.3458571428571428,0.00(pava)
16,-0.3361836734693877,0.00(pava)
17,-0.3361836734693877,0.00(pava)
18,-0.3361836734693877,0.00(pava)
19,-0.3361836734693877,0.00(pava)
20,-0.3361836734693877,0.00(pava)
21,-0.3361836734693877,0.00(pava)
22,-0.3361836734693877,0.00(pava)
23,-0.3361836734693877,0.00(pava)
24,-0.3361836734693877,0.00(pava)
25,-0.3361836734693877,0.00(pava)
26,-0.3361836734693877,0.00(pava)
27,-0.3361836734693877,0.00(pava)
28,-0.3361836734693877,0.00(pava)
29,-0.3361836734693877,0.00(pava)
30,-0.3361836734693877,0.00(pava)
31,-0.3361836734693877,0.00(pava)
32,-0.3361836734693877,0.00(pava)
33,-0.3361836734693877,0.00(pava)
34,-0.3361836734693877,0.00(pava)
35,-0.3361836734693877,0.00(pava)
36,-0.3361836734693877,0.00(pava)
37,-0.3361836734693877,0.00(pava)
38,-0.3361836734693877,0.00(pava)
39,-0.3361836734693877,0.00(pava)
40,-0.3361836734693877,0.00(pava)
41,-0.3361836734693877,0.00(pava)
42,-0.3361836734693877,0.00(pava)
43,-0.3361836734693877,0.00(pava)
44,-0.3361836734693877,0.00(pava)
45,-0.3361836734693877,0.00(pava)
46,-0.3361836734693877,0.00(pava)
47,-0.3361836734693877,0.00(pava)
48,-0.3361836734693877,0.00(pava)
49,-0.3361836734693877,0.00(pava)
50,-0.3361836734693877,0.00(pava)
51,-0.3361836734693877,0.00(pava)
52,-0.3361836734693877,0.00(pava)
53,-0.3361836734693877,0.00(pava)
54,-0.3361836734693877,0.00(pava)
55,-0.3361836734693877,0.00(pava)
56,-0.3361836734693877,0.00(pava)
57,-0.3361836734693877,0.00(pava)
58,-0.3361836734693877,0.00(pava)
59,-0.3361836734693877,0.00(pava)
60,-0.3361836734693877,0.00(pava)
61,-0.3361836734693877,0.00(pava)
62,-0.3361836734693877,0.00(pava)
63,-0.3361836734693877,0.00(pava)
64,-0.3361836734693877,0.00(pava)
65,-0.3178,0.00(pava)
66,-0.3178,0.00(pava)
67,-0.3178,0.00(pava)
68,-0.3178,0.00(pava)
69,-0.3178,0.00(pava)
70,-0.275,0.00(pava)
71,-0.25999999999999995,0.00(pava)
72,-0.25999999999999995,0.00(pava)
73,-0.25999999999999995,0.00(pava)
74,-0.25999999999999995,0.00(pava)
75,-0.25999999999999995,0.00(pava)
76,-0.21739999999999998,0.00(pava)
77,-0.21739999999999998,0.00(pava)
78,-0.21739999999999998,0.00(pava)
79,-0.21739999999999998,0.00(pava)
80,-0.21739999999999998,0.00(pava)
81,-0.1555,0.00(pava)
82,-0.1555,0.00(pava)
83,-0.1555,0.00(pava)
84,-0.1555,0.00(pava)
85,-0.1495,0.00(pava)
86,-0.1495,0.00(pava)
87,-0.141,0.00(pava)
88,-0.051775000000000015,0.00(pava)
89,-0.051775000000000015,0.00(pava)
90,-0.051775000000000015,0.00(pava)
91,-0.051775000000000015,0.00(pava)
92,-0.051775000000000015,0.00(pava)
93,-0.051775000000000015,0.00(pava)
94,-0.051775000000000015,0.00(pava)
95,-0.051775000000000015,0.00(pava)
96,-0.051775000000000015,0.00(pava)
97,-0.051775000000000015,0.00(pava)
98,-0.051775000000000015,0.00(pava)
99,-0.051775000000000015,0.00(pava)
100,-0.051775000000000015,0.00(pava)
101,-0.051775000000000015,0.00(pava)
102,-0.051775000000000015,0.00(pava)
103,-0.051775000000000015,0.00(pava)
104,-0.051775000000000015,0.00(pava)
105,-0.051775000000000015,0.00(pava)
106,-0.051775000000000015,0.00(pava)
107,-0.051775000000000015,0.00(pava)
108,-0.051775000000000015,0.00(pava)
