mse,fdr,power,signal,method
0.21338918972677118,0.0,0.7357910906298003,1,BGSM
0.08430369416781858,0.006172839506172867,0.989247311827957,2,BGSM
0.0854350377336627,0.006172839506172867,0.989247311827957,3,BGSM
0.0870609177212256,0.006172839506172867,0.989247311827957,4,BGSM
0.08918133413050733,0.006172839506172867,0.989247311827957,5,BGSM
0.108447749257559,0.5,1.0,1,Genlasso
0.180695611336,0.5625,1.0,2,Genlasso
0.291433349596734,0.5625,1.0,3,Genlasso
0.45919807383503,0.53333,1.0,4,Genlasso
0.6400107628112,0.5625,1.0,5,Genlasso
0.17913921989894008,0.1235955056179775,0.4792626728110599,1,L0pen
0.08538727086248098,0.023400936037441533,0.9615975422427036,2,L0pen
0.08352323138298105,0.0,1.0,3,L0pen
0.08352323138298105,0.0,1.0,4,L0pen
0.08352323138298105,0.0,1.0,5,L0pen
