y,m,district,year
10.760330467439555,9.268453315961235,6th District – Gresham,2009
16.501138082506188,14.213320719166642,7th District – Englewood,2009
1.9007033643898816,1.6371783797575112,8th District – Chicago Lawn,2009
3.3815663601336237,2.912725593192801,9th District – Deering,2009
6.9815539828105555,6.013589206980957,10th District – Ogden,2009
15.127373289726743,13.030022967530096,11th District – Harrison,2009
4.828318258675152,4.158891077792568,12th District – Near West,2009
6.979380345481134,6.011716935848157,14th District – Shakespeare,2009
27.623032899479394,23.793208921306235,15th District – Austin,2009
1.2231587753747715,1.0535726613484762,16th District – Jefferson Park,2009
2.914398790505695,2.5103289546388328,17th District – Albany Park,2009
9.302854889115542,8.013050947258325,18th District – Near North,2009
3.3809152979296195,2.9121647981817316,19th District – Town Hall,2009
5.717665473883324,4.924933828131859,20th District – Lincoln,2009
3.379045341606586,2.910554103887968,22nd District – Morgan Park,2009
5.27122616827465,4.540391561984457,24th District – Rogers Park,2009
3.6261372685473203,3.1233877149495477,25th District – Grand Central,2009
15.976936902216224,14.942665152526216,1st District – Central,2010
7.696514441371585,7.198278295950769,2nd District – Wentworth,2010
15.40067631560221,14.403708965925949,3rd District – Grand Crossing,2010
4.38040260300956,4.096835941121266,4th District – South Chicago,2010
8.370210270313521,7.828362225564119,5th District – Calumet,2010
9.640551989090039,9.016467996347318,6th District – Gresham,2010
14.82140075053566,13.86193297639762,7th District – Englewood,2010
1.7709999172154012,1.6563537122331966,8th District – Chicago Lawn,2010
3.2740009546509867,3.062057531667078,9th District – Deering,2010
6.714947208361234,6.28025310893693,10th District – Ogden,2010
14.355778233698937,13.426452671308443,11th District – Harrison,2010
4.3982319188266,4.113511070890083,12th District – Near West,2010
6.5518954539821666,6.127756558244514,14th District – Shakespeare,2010
25.79168800086243,24.12205542739896,15th District – Austin,2010
1.0697314906241124,1.0004821052583337,16th District – Jefferson Park,2010
2.6265246522265433,2.456495799744472,17th District – Albany Park,2010
8.282126480244683,7.745980565774157,18th District – Near North,2010
3.023989104866338,2.8282302731406035,19th District – Town Hall,2010
4.944177162900271,4.62411438764196,20th District – Lincoln,2010
3.2313035322982464,3.0221241396159093,22nd District – Morgan Park,2010
4.804860927790573,4.493816830338216,24th District – Rogers Park,2010
3.604182256448441,3.370864448949212,25th District – Grand Central,2010
14.833403595354389,14.78371728586012,1st District – Central,2011
7.4842099923178464,7.45914071057088,2nd District – Wentworth,2011
14.460358349875502,14.411921601306553,3rd District – Grand Crossing,2011
4.188017362161926,4.173989082982026,4th District – South Chicago,2011
7.612304401374817,7.586806051652185,5th District – Calumet,2011
8.951692154743506,8.92170736102851,6th District – Gresham,2011
13.955185783628139,13.908441172693902,7th District – Englewood,2011
1.6136484857218025,1.6082433716789513,8th District – Chicago Lawn,2011
3.039312797234324,3.0291322452576646,9th District – Deering,2011
6.464370588071839,6.442717383825096,10th District – Ogden,2011
13.416661732899959,13.371720974499132,11th District – Harrison,2011
4.248899887629917,4.234667674943878,12th District – Near West,2011
6.325225037723641,6.3040379186093425,14th District – Shakespeare,2011
23.350389493386817,23.27217449224281,15th District – Austin,2011
0.9924641129068177,0.9891397323114373,16th District – Jefferson Park,2011
2.619155454632279,2.6103822713439055,17th District – Albany Park,2011
7.934310705520803,7.907733756083409,18th District – Near North,2011
2.9400722883154096,2.930224154627568,19th District – Town Hall,2011
5.096216218657412,5.0791458157210805,20th District – Lincoln,2011
2.935332316951176,2.9255000603803207,22nd District – Morgan Park,2011
4.482637324976328,4.467622179999818,24th District – Rogers Park,2011
3.2715934920856897,3.260634887356691,25th District – Grand Central,2011
15.222505191015255,15.464336992108462,1st District – Central,2012
7.093072516358481,7.205756367038206,2nd District – Wentworth,2012
13.948433002601304,14.170024300033605,3rd District – Grand Crossing,2012
4.279325590460595,4.347308948128698,4th District – South Chicago,2012
7.717341578379672,7.839942857875546,5th District – Calumet,2012
9.041884429069714,9.185528012653393,6th District – Gresham,2012
13.799678348916252,14.018906460698737,7th District – Englewood,2012
1.5689912575934573,1.5939169828247597,8th District – Chicago Lawn,2012
2.975414225638839,3.022683040604282,9th District – Deering,2012
6.3837979711100985,6.485213956310742,10th District – Ogden,2012
13.807752689466112,14.02710907397988,11th District – Harrison,2012
4.14093686507556,4.206721715054494,12th District – Near West,2012
5.577557409950748,5.666165082421457,14th District – Shakespeare,2012
22.7908943339228,23.15296108680856,15th District – Austin,2012
0.9457799640765227,0.960805064694356,16th District – Jefferson Park,2012
2.44490958893565,2.4837505603778105,17th District – Albany Park,2012
7.777442004634449,7.900998067468892,18th District – Near North,2012
2.880398107656972,2.926157452357428,19th District – Town Hall,2012
4.7123799139590545,4.787242974127416,20th District – Lincoln,2012
2.8085571670496305,2.8531752131371912,22nd District – Morgan Park,2012
4.212790770733969,4.279717125294633,24th District – Rogers Park,2012
3.0518950264205538,3.1003788509767314,25th District – Grand Central,2012
15.295070761910207,16.54455164759691,1st District – Central,2013
6.228553498590101,6.737374847841147,2nd District – Wentworth,2013
13.218862747204543,14.298734595478706,3rd District – Grand Crossing,2013
3.7416437308066364,4.047305103380012,4th District – South Chicago,2013
7.1709555291892775,7.756763336508788,5th District – Calumet,2013
8.164361528137446,8.831322396252421,6th District – Gresham,2013
12.355129947129814,13.364441963361772,7th District – Englewood,2013
1.3733531012708498,1.4855447005153486,8th District – Chicago Lawn,2013
2.7781547829825923,3.0051070706085117,9th District – Deering,2013
6.394765971324786,6.917165506049932,10th District – Ogden,2013
13.442194741210807,14.540310967822078,11th District – Harrison,2013
3.8874255621149763,4.204996105592862,12th District – Near West,2013
5.1681716771644375,5.59036859439909,14th District – Shakespeare,2013
20.99813530837232,22.713509438462157,15th District – Austin,2013
0.9307013247645479,1.0067319318587358,16th District – Jefferson Park,2013
2.2235959450563025,2.405245358392611,17th District – Albany Park,2013
7.608131992988143,8.229653504656712,18th District – Near North,2013
2.8503745355131955,3.0832265801105394,19th District – Town Hall,2013
4.432395423302461,4.794485500911882,20th District – Lincoln,2013
2.570122365888646,2.780080124178395,22nd District – Morgan Park,2013
3.910260938182753,4.229696943178163,24th District – Rogers Park,2013
2.8771449976875827,3.1121839678185568,25th District – Grand Central,2013
14.923484993706746,17.886621491494655,1st District – Central,2014
5.825940106465668,6.982711180425582,2nd District – Wentworth,2014
11.32903055202764,13.578469200401242,3rd District – Grand Crossing,2014
3.3516898125703944,4.0171854670424825,4th District – South Chicago,2014
6.301266976465589,7.552416702427365,5th District – Calumet,2014
7.458944657924269,8.93995738117195,6th District – Gresham,2014
10.806481527065174,12.9521653160073,7th District – Englewood,2014
1.216702425140178,1.458285095970769,8th District – Chicago Lawn,2014
2.3524453020364193,2.819535699249492,9th District – Deering,2014
5.348587489308461,6.410577688505571,10th District – Ogden,2014
13.233571380622177,15.86116663538601,11th District – Harrison,2014
3.377628205614141,4.048274064556184,12th District – Near West,2014
4.421365914092148,5.2992513889424675,14th District – Shakespeare,2014
19.370108279374904,23.216145236085996,15th District – Austin,2014
0.8671495455174676,1.0393266521682643,16th District – Jefferson Park,2014
1.8703498926344866,2.241717708720077,17th District – Albany Park,2014
6.719930590038514,8.054208180181936,18th District – Near North,2014
2.4576438340548514,2.945621953530451,19th District – Town Hall,2014
3.8632874823535976,4.630363547042008,20th District – Lincoln,2014
2.3331503549188337,2.7964096388194926,22nd District – Morgan Park,2014
3.373500944418061,4.043327313925086,24th District – Rogers Park,2014
2.423803666780996,2.9050626429209276,25th District – Grand Central,2014
14.169053282505775,18.202689032499205,1st District – Central,2015
5.251187971865231,6.7460923321588915,2nd District – Wentworth,2015
10.322039674305639,13.260510397295723,3rd District – Grand Crossing,2015
3.345908287197772,4.29841901705039,4th District – South Chicago,2015
5.845463446894061,7.509545715804966,5th District – Calumet,2015
7.080311390342272,9.095929270785419,6th District – Gresham,2015
10.0488647273738,12.909568205793825,7th District – Englewood,2015
1.1327391916549296,1.455206558230458,8th District – Chicago Lawn,2015
2.182835900914894,2.80424403247796,9th District – Deering,2015
5.129649331176818,6.589954159920148,10th District – Ogden,2015
12.43644331628352,15.97684092529418,11th District – Harrison,2015
3.0348203839987846,3.898770836554456,12th District – Near West,2015
3.892180987922055,5.000204231628193,14th District – Shakespeare,2015
18.598390818045225,23.89296714578346,15th District – Austin,2015
0.8066646081643482,1.0363053002325715,16th District – Jefferson Park,2015
1.7978464969489858,2.3096561258991146,17th District – Albany Park,2015
6.002661978399533,7.711495410559278,18th District – Near North,2015
2.205333938958394,2.8331467955759573,19th District – Town Hall,2015
3.5209919032719452,4.523345309198545,20th District – Lincoln,2015
2.157371733613036,2.771530744608575,22nd District – Morgan Park,2015
3.0382878335579875,3.9032253971241433,24th District – Rogers Park,2015
2.295633866419971,2.949153240499822,25th District – Grand Central,2015
15.98819707701027,21.05349942112261,1st District – Central,2016
5.09243779824847,6.705799016681599,2nd District – Wentworth,2016
9.649179711870394,12.70618560051922,3rd District – Grand Crossing,2016
3.0464651454846656,4.011631322030546,4th District – South Chicago,2016
5.266313507628758,6.934761177277489,5th District – Calumet,2016
6.926940952840704,9.121500481782473,6th District – Gresham,2016
9.50972944752557,12.52255538596046,7th District – Englewood,2016
1.0773795179837,1.4187096236645056,8th District – Chicago Lawn,2016
2.094322048440937,2.7578349092217205,9th District – Deering,2016
5.041483483297218,6.638701605062096,10th District – Ogden,2016
11.559602445511004,15.221859114116118,11th District – Harrison,2016
3.2401519268942227,4.266681001531229,12th District – Near West,2016
3.958975502218769,5.213238743726296,14th District – Shakespeare,2016
16.90803276332503,22.26475294746312,15th District – Austin,2016
0.7738664379094877,1.019039015098272,16th District – Jefferson Park,2016
1.8028385340289712,2.3740050144324414,17th District – Albany Park,2016
6.412684306923174,8.444319562321489,18th District – Near North,2016
2.196755775488743,2.892721188313527,19th District – Town Hall,2016
3.5401006370556294,4.661657993954599,20th District – Lincoln,2016
2.0625341695520722,2.715976150128254,22nd District – Morgan Park,2016
2.9683120966659473,3.9087182068032016,24th District – Rogers Park,2016
2.145064019931036,2.824652703764017,25th District – Grand Central,2016
17.4269971895826,22.37725252143441,1st District – Central,2017
5.539042202338994,7.112444257620873,2nd District – Wentworth,2017
9.462955371469748,12.150971257000274,3rd District – Grand Crossing,2017
2.9330276304149208,3.766173783362565,4th District – South Chicago,2017
5.747171776669334,7.379694432238032,5th District – Calumet,2017
7.141310996166759,9.169848239308024,6th District – Gresham,2017
8.835649699538926,11.345475205315864,7th District – Englewood,2017
1.1075119985895592,1.4221082033439327,8th District – Chicago Lawn,2017
2.0766192779461456,2.6664968994921088,9th District – Deering,2017
5.288685334289784,6.790971843534441,10th District – Ogden,2017
11.478021370176345,14.738430255809808,11th District – Harrison,2017
3.5347799884444333,4.53885793109654,12th District – Near West,2017
4.513154504706342,5.795146284893729,14th District – Shakespeare,2017
16.152640094446557,20.740905753823334,15th District – Austin,2017
0.7804260719604598,1.0021113274184577,16th District – Jefferson Park,2017
