sigma,mse,t,change,method,x,y,c
0.1,0.00949494760814862,0.1261649939,18.0,BGSM,0.1,0.00949494760814862,18.0
0.2,0.010102872894072093,0.7285990134000001,18.1,BGSM,0.2,0.010102872894072093,18.1
0.3,0.011160104544296003,2.4202360606,18.1,BGSM,0.3,0.011160104544296003,18.1
0.4,0.01693498929252089,4.5597630732,19.200000000000003,BGSM,0.4,0.01693498929252089,19.200000000000003
0.5,0.033819297880532014,6.441262374400001,25.400000000000002,BGSM,0.5,0.033819297880532014,25.400000000000002
0.1,0.00115666519004422,11.6924070126,129.9,Genlasso,0.1,0.00115666519004422,129.9
0.2,0.0045846515865884145,11.263747832500002,129.0,Genlasso,0.2,0.0045846515865884145,129.0
0.3,0.010241553302443272,11.649462726900001,131.20000000000002,Genlasso,0.3,0.010241553302443272,131.20000000000002
0.4,0.018139925086620778,12.131066654000001,130.5,Genlasso,0.4,0.018139925086620778,130.5
0.5,0.02818425972598748,11.690506435800001,130.3,Genlasso,0.5,0.02818425972598748,130.3
0.1,0.0030041137120783174,13.2937090665,19.400000000000002,L0pen,0.1,0.0030041137120783174,19.400000000000002
0.2,0.00552204313321867,13.880677792199998,19.0,L0pen,0.2,0.00552204313321867,19.0
0.3,0.013249472231287718,15.9651394112,18.8,L0pen,0.3,0.013249472231287718,18.8
0.4,0.015118224336909689,19.198678166999997,19.1,L0pen,0.4,0.015118224336909689,19.1
0.5,0.04697128525029316,21.322064887499998,17.900000000000002,L0pen,0.5,0.04697128525029316,17.900000000000002
