time,method,mse,size,miss,n1
2.5018127037999998,BGSM_changepoint,1.7942694311606002,2,0.0299259,24
1.7395867604,BGSM_clust,1.4357363191396024,3,0.184074,24
0.07491934884999998,BGSM_cartesian,0.1853004753367721,3,0.0,24
0.24003983950000002,BGSM_kronecker,0.17406583411353538,3,0.0,24
0.0368684183,BGSM_clust_mult,0.7992793562163326,3,0.164815,24
6.584205144200001,BGSM_changepoint,2.0900859841370085,2,0.0220588,36
3.3594980586,BGSM_clust,1.4124064969238825,3,0.182598,36
0.1438392264,BGSM_cartesian,0.12179562579925499,3,0.0,36
0.48216475439999995,BGSM_kronecker,0.10190057142799092,3,0.0,36
0.0454343732,BGSM_clust_mult,0.4755156499482729,3,0.08152,36
13.5500930696,BGSM_changepoint,1.6318100305197272,2,0.0320513,48
6.954502174800001,BGSM_clust,1.333806305129862,3,0.184982,48
0.344559082,BGSM_cartesian,0.10512597117643052,3,0.0,48
0.8378556134,BGSM_kronecker,0.09160005756125361,3,0.0,48
0.10318311420000001,BGSM_clust_mult,0.2497055430338395,3,0.0357143,48
44.24754149740001,BGSM_changepoint,1.4693546038770406,2,0.0328467,72
31.578594857000002,BGSM_clust,1.370140720856548,3,0.176399,72
0.6650014484,BGSM_cartesian,0.06491268643474146,3,0.0,72
2.1657839941999995,BGSM_kronecker,0.05129651039857181,3,0.0,72
0.1782307776,BGSM_clust_mult,0.12136379868693666,3,0.00729927,72
109.5360602448,BGSM_changepoint,1.5571404858138893,2,0.0364299,96
54.2156304446,BGSM_clust,1.4910430237011274,3,0.16439,96
1.1865581692,BGSM_cartesian,0.05221607476261852,3,0.0,96
6.3936648488,BGSM_kronecker,0.03910366484453444,3,0.0,96
0.3783722026,BGSM_clust_mult,0.09962185440924576,3,0.00318761,96
470.32552874580006,BGSM_changepoint,1.6492276703760076,2,0.0360606,144
217.1140379804,BGSM_clust,1.4681754608244553,3,0.164242,144
2.1217526859999998,BGSM_cartesian,0.034826384657971214,3,0.0,144
37.87473792019999,BGSM_kronecker,0.021181680976395025,3,0.0,144
0.7258498224000001,BGSM_clust_mult,0.06743176026880987,3,0.00272727,144
