x1,x2,x3,x4,x5
-6.371456635641536,-7.031705445509078,-7.676091146056244,-7.758478483936667,-7.826642976214211
-6.36779622998673,-7.031705445509078,-7.877642556841171,-7.758741186809661,-7.826642976214211
-6.356998148305907,-8.971575617485268,-7.981519013382095,-7.758785715202129,-7.826642976214211
-6.331563771467753,-7.031705445509078,-7.8363875030484325,-7.758771871189124,-7.826642976214211
-6.3009903885808605,-8.971575617485268,-7.7666531961491145,-7.758683761392349,-7.826642976214211
-6.26445407813878,-7.031705445509078,-7.648999703149726,-7.758785948635455,-7.826642976214211
-6.2349821881510685,-5.565804518368188,-7.427699861827976,-7.7586261187124705,-7.826642976214211
-9.590806013145663,-8.971575617485268,-8.063633290656457,-7.7587887982343995,-7.826642976214211
-5.936189875632793,-7.031705445509078,-7.659090309118954,-7.758669446886405,-7.826642976214211
-5.9100906129873545,-7.031705445509078,-7.8050141792899685,-7.758664924662825,-7.826642976214211
-5.8607102637540285,-7.031705445509078,-7.772548683917887,-7.758684207902209,-7.826642976214211
-5.793772665962422,-7.031705445509078,-7.59378732563037,-7.758744266500406,-7.826642976214211
-5.719103506892395,-5.565804518368188,-5.8239692328704615,-5.914342752414884,-6.210254100773629
-5.654182713207993,-7.031705445509078,-5.986417311919458,-5.914328687482988,-6.210254100773629
-5.590886370864812,-5.565804518368188,-5.9334981647248615,-5.914199004396059,-6.210254100773629
-5.538032110706774,-5.565804518368188,-5.914730733029761,-5.914383046998203,-6.210254100773629
-5.493195740805611,-7.031705445509078,-5.956492442617238,-5.9143540897455,-6.210254100773629
-5.452603078470585,-7.031705445509078,-6.050076871886827,-5.91473008275084,-6.210254100773629
-5.408043210658569,-5.565804518368188,-5.8969621461720685,-5.914369828098362,-6.210254100773629
-5.373711257828808,-7.031705445509078,-5.9535618209789405,-5.914472827328117,-6.210254100773629
-5.340906789341776,-7.031705445509078,-6.055237259068919,-5.914354348161327,-6.210254100773629
-5.2991632656574295,-5.565804518368188,-5.735324188055516,-5.914256558699524,-6.210254100773629
-5.2666267115984615,-5.565804518368188,-5.7679178594075085,-5.914404029007842,-6.210254100773629
-5.235514767678584,-5.565804518368188,-5.896485780145735,-5.914328372368262,-6.210254100773629
-5.197807838133873,-3.588805094456595,-4.1725459612254685,-4.2163265067895175,-4.050990193363089
-5.1685369029895964,-3.588805094456595,-4.136617208187448,-4.216247386331506,-4.050990193363089
-5.154708616012854,-3.588805094456595,-4.328784482998228,-4.216267214080812,-4.050990193363089
-5.137283232050311,-3.588805094456595,-4.117355617291027,-4.216273271746893,-4.050990193363089
-5.1237943850254375,-5.565804518368188,-4.292771013080684,-4.216413972642572,-4.050990193363089
-5.117508582886544,-3.588805094456595,-4.222168978747506,-4.216282950315569,-4.050990193363089
-5.122063062490792,-3.588805094456595,-4.322804297076571,-4.216265468226131,-4.050990193363089
-5.1326313256207925,-5.565804518368188,-4.52035391689829,-4.21632058402501,-4.050990193363089
-1.7300738518077596,-3.588805094456595,-4.067026665473556,-4.216257702179643,-4.050990193363089
-1.7369636910890847,-3.588805094456595,-4.1116517980010725,-4.216316212604365,-4.050990193363089
-1.7571589833031587,-3.588805094456595,-4.060829729342765,-4.216283285512212,-4.050990193363089
-1.7978858360550543,-3.588805094456595,-4.243738981230254,-4.216341201833351,-4.050990193363089
-1.8241530399995647,-1.6339377178256167,-2.0741526408236397,-2.124982432148978,-2.1428318957546524
-1.841871913503687,-3.588805094456595,-2.2106053606699465,-2.1252073246081653,-2.1428318957546524
-1.8498640667505735,-3.588805094456595,-2.126459950831055,-2.125224272368052,-2.1428318957546524
-1.8534788208733952,-3.588805094456595,-2.283571690696026,-2.1253321049385687,-2.1428318957546524
-1.8437579663818913,-3.588805094456595,-2.200771466921787,-2.125201672968218,-2.1428318957546524
-1.8261464721071274,-1.6339377178256167,-2.0250456971602455,-2.125226226697614,-2.1428318957546524
-1.8094961271383998,-1.6339377178256167,-2.045907193744933,-2.1251690786352477,-2.1428318957546524
-1.7930708665747133,-1.6339377178256167,-2.178493614694241,-2.1250578888597524,-2.1428318957546524
-1.7720245221001936,0.03384964880618764,-2.0310306947217938,-2.1248717681210856,-2.1428318957546524
-1.7565584756858772,0.03384964880618764,-1.9745176745397977,-2.1251697431959964,-2.1428318957546524
-1.7453982476063385,-1.6339377178256167,-2.2087656488875678,-2.1251922109736197,-2.1428318957546524
-1.7284754978110304,-3.588805094456595,-2.1458871220654925,-2.125108329048913,-2.1428318957546524
-1.7005922829657154,0.03384964880618764,-0.6202992253152911,-0.5348444655153886,-0.11348641727371256
-1.6789088095406999,2.158152424464694,-0.462549816930655,-0.5348116255252832,-0.11348641727371256
-1.6780716511495946,-1.6339377178256167,-0.671393431515675,-0.5348147792640642,-0.11348641727371256
2.6621505085593697,2.158152424464694,-0.2973238228076158,-0.5350134012282577,-0.11348641727371256
2.642289815012078,0.03384964880618764,-0.6698381469099307,-0.5349043861459573,-0.11348641727371256
2.64951087127216,0.03384964880618764,-0.37008921329159633,-0.534970367932992,-0.11348641727371256
-0.9945185524010547,0.03384964880618764,-0.5864134675773569,-0.5348304937974374,-0.11348641727371256
-0.996636682873753,0.03384964880618764,-0.7048528250207459,-0.5349495890830221,-0.11348641727371256
-0.998701666137521,-1.6339377178256167,-0.6478872248194509,-0.5349692676993555,-0.11348641727371256
-0.9963877983445981,0.03384964880618764,-0.612319876647037,-0.5348311077905799,-0.11348641727371256
-0.997903262183039,-1.6339377178256167,-0.44529335343533727,-0.5347987779429259,-0.11348641727371256
2.5078138840309556,2.158152424464694,-0.3293098202390709,-0.534649492322298,-0.11348641727371256
2.499203715799224,0.03384964880618764,1.7612521457430328,1.783021700254356,1.3678037753437198
2.4917703167852383,2.158152424464694,1.8376570405287593,1.7830641115093113,1.3678037753437196
2.4856830236348735,2.158152424464694,1.6033741081503494,1.7830135056856182,1.3678037753437198
2.489749162539887,0.03384964880618764,1.6250941048782654,1.7830158702951977,1.3678037753437198
2.504863205050722,2.158152424464694,1.8851995908642485,1.7829939961813155,1.36780377534372
2.514275425951948,2.158152424464694,1.7304782612270746,1.7830671785422192,1.3678037753437198
2.52468805830598,0.03384964880618764,1.7746652150483757,1.783071933490466,1.3678037753437198
2.541270342615996,2.158152424464694,2.010219622662447,1.7830529308745053,1.3678037753437198
2.5466968774733556,0.03384964880618764,1.6924481222727232,1.7830456522992464,1.3678037753437198
2.558319370093855,2.158152424464694,1.7613096172857792,1.7829869051783689,1.3678037753437198
2.5700326483934273,2.158152424464694,1.663283913314011,1.7830359635544575,1.3678037753437196
2.5847076626277494,2.158152424464694,2.052500606044126,1.7830792977652135,1.3678037753437198
-6.361773419528317,-7.031705445509078,-7.676091146056244,-7.758478614815898,-7.695358999244296
-6.3623787665959295,-8.971575617485268,-7.877642556841171,-7.758741317686946,-7.695358999244296
-6.349121016603549,-8.971575617485268,-7.981519013382095,-7.758785846079083,-7.695358999244296
-6.319812213599006,-8.971575617485268,-7.8363875030484325,-7.758772002066182,-7.695358999244296
-6.2814104946118245,-7.031705445509078,-7.7666531961491145,-7.758683892270059,-7.695358999244297
-6.243031205910624,-7.031705445509078,-7.648999703149726,-7.758786079512408,-7.695358999244297
-6.210750639123644,-5.565804518368188,-7.427699861827976,-7.758626249590609,-7.695358999244296
-9.584005547415662,-8.971575617485268,-8.063633290656457,-7.758788929111332,-7.695358999244296
-5.946920904396483,-7.031705445509078,-7.659090309118954,-7.758669577764221,-7.695358999244296
-5.916707307282056,-8.971575617485268,-7.8050141792899685,-7.758665055540676,-7.695358999244296
-5.86257623740596,-8.971575617485268,-7.772548683917887,-7.758684338779915,-7.695358999244296
-5.788951949404209,-7.031705445509078,-7.59378732563037,-7.758744397377666,-7.695358999244297
-5.711193685457174,-5.565804518368188,-5.8239692328704615,-5.914342896965446,-5.616693295484944
-5.643824030750155,-5.565804518368188,-5.986417311919458,-5.914328832033806,-5.616693295484944
-5.580455080297594,-7.031705445509078,-5.9334981647248615,-5.914199148948444,-5.616693295484944
-5.524855371984586,-5.565804518368188,-5.914730733029761,-5.914383191548475,-5.616693295484944
-5.476862117432748,-5.565804518368188,-5.956492442617238,-5.9143542342960504,-5.616693295484944
-5.4332033740944095,-5.565804518368188,-6.050076871886827,-5.914730227298194,-5.616693295484944
-5.393058267507842,-5.565804518368188,-5.8969621461720685,-5.914369972648693,-5.616693295484944
-5.358248266933467,-5.565804518368188,-5.9535618209789405,-5.914472971877529,-5.616693295484944
-5.325810178302863,-5.565804518368188,-6.055237259068919,-5.914354492711835,-5.616693295484944
-5.2909003871970635,-3.588805094456595,-5.735324188055516,-5.91425670325109,-5.616693295484944
-5.264562112316515,-3.588805094456595,-5.7679178594075085,-5.91440417355787,-5.616693295484944
-5.239970431268337,-5.565804518368188,-5.896485780145735,-5.914328516918929,-5.616693295484944
-5.20077613299581,-3.588805094456595,-4.1725459612254685,-4.2163266817452,-4.382804920754502
-5.178275409093557,-3.588805094456595,-4.136617208187448,-4.216247561287699,-4.382804920754502
-5.169204703471112,-5.565804518368188,-4.328784482998228,-4.2162673890369415,-4.382804920754502
-1.5026429072814642,-3.588805094456595,-4.117355617291027,-4.216273446702962,-4.382804920754502
-5.115600608083538,-3.588805094456595,-4.292771013080684,-4.216414147597129,-4.382804920754502
-5.11734836544347,-3.588805094456595,-4.222168978747506,-4.216283125271527,-4.382804920754502
-5.125663413199166,-5.565804518368188,-4.322804297076571,-4.216265643182271,-4.382804920754502
-5.133343102672951,-5.565804518368188,-4.52035391689829,-4.216320758980827,-4.382804920754502
-1.6996187923470065,-3.588805094456595,-4.067026665473556,-4.216257877135801,-4.382804920754502
-1.7131364973246404,-3.588805094456595,-4.1116517980010725,-4.216316387560159,-4.382804920754502
-1.719687734111526,-3.588805094456595,-4.060829729342765,-4.21628346046823,-4.382804920754502
-5.523379608669541,-5.565804518368188,-4.243738981230254,-4.216341376788898,-4.382804920754502
-1.8347647067479962,-1.6339377178256167,-2.0741526408236397,-2.1249826017795255,-2.1107901933173245
-1.8435366354387879,-3.588805094456595,-2.2106053606699465,-2.1252074942337322,-2.1107901933173245
-1.8460533060381368,-1.6339377178256167,-2.126459950831055,-2.1252244419934314,-2.1107901933173245
-1.8472312384258325,-1.6339377178256167,-2.283571690696026,-2.125332274563075,-2.1107901933173245
-1.8371230519958648,-1.6339377178256167,-2.200771466921787,-2.1252018425939707,-2.1107901933173245
-1.8200577670837166,0.03384964880618764,-2.0250456971602455,-2.125226396322914,-2.1107901933173245
-1.8080621498960598,-1.6339377178256167,-2.045907193744933,-2.125169248261553,-2.1107901933173245
-1.799062064746279,-3.588805094456595,-2.178493614694241,-2.1250580584884817,-2.1107901933173245
-1.7816007973456334,-3.588805094456595,-2.0310306947217938,-2.1248719377545178,-2.1107901933173245
-1.7628746769481192,-1.6339377178256167,-1.9745176745397977,-2.1251699128221597,-2.1107901933173245
-1.7506918289934916,-3.588805094456595,-2.2087656488875678,-2.125192380599497,-2.1107901933173245
-1.726575312380182,-1.6339377178256167,-2.1458871220654925,-2.125108498676457,-2.1107901933173245
-1.702939125236956,-1.6339377178256167,-0.6202992253152911,-0.5348446788268431,-0.9556465549275783
-1.6862702574740778,-1.6339377178256167,-0.462549816930655,-0.5348118388361985,-0.9556465549275783
-1.6805533646552526,-1.6339377178256167,-0.671393431515675,-0.5348149925754956,-0.9556465549275783
2.6964148621924515,0.03384964880618764,-0.2973238228076158,-0.5350136145360294,-0.9556465549275783
-2.6318645190983307,-3.588805094456595,-0.6698381469099307,-0.5349045994563529,-0.9556465549275783
2.6757960011828485,0.03384964880618764,-0.37008921329159633,-0.5349705812417584,-0.9556465549275783
-1.0021038453769673,-1.6339377178256167,-0.5864134675773569,-0.5348307071086409,-0.9556465549275783
-1.0030875513202482,-3.588805094456595,-0.7048528250207459,-0.5349498023929117,-0.9556465549275783
-0.9929414780146415,0.03384964880618764,-0.6478872248194509,-0.5349694810085178,-0.9556465549275783
-0.996850090910874,-1.6339377178256167,-0.612319876647037,-0.5348313211016789,-0.9556465549275783
2.543148577999445,2.158152424464694,-0.44529335343533727,-0.5347989912538482,-0.9556465549275783
